date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2023-02-10T00:00:00.000Z,151.01,151.3401,149.22,149.46,57450708,149.1514312504,149.4774685158,147.3834618316,147.6205080106,57450708,0.23,1.0
2023-02-13T00:00:00.000Z,153.85,154.26,150.92,150.952,62199013,151.9564777026,152.3614315919,149.0625389332,149.0941450905,62199013,0.0,1.0
2023-02-14T00:00:00.000Z,153.2,153.77,150.86,152.12,61707573,151.3144776343,151.8774623096,149.0032773885,150.2477698286,61707573,0.0,1.0
2023-02-15T00:00:00.000Z,155.33,155.5,152.88,153.11,65669252,153.4182624735,153.5861701837,150.9984160622,151.2255853172,65669252,0.0,1.0
2023-02-16T00:00:00.000Z,153.71,156.33,153.3475,153.51,68167942,151.8182007648,154.4059548863,151.4601622652,151.6206622823,68167942,0.0,1.0
2023-02-17T00:00:00.000Z,152.55,153.0,150.85,152.35,59144118,150.672477566,151.1169391518,148.9934004644,150.4749390835,59144118,0.0,1.0
2023-02-21T00:00:00.000Z,148.48,151.3,148.405,150.2,58867230,146.6525694461,149.4378620501,146.5784925152,148.3514003961,58867230,0.0,1.0
2023-02-22T00:00:00.000Z,148.91,149.95,147.16,148.87,51011305,147.0772771836,148.1044772929,145.3488154613,147.0377694871,51011305,0.0,1.0
2023-02-23T00:00:00.000Z,149.4,150.34,147.24,150.09,48394249,147.5612464659,148.4896773338,145.4278308543,148.2427542307,48394249,0.0,1.0
2023-02-24T00:00:00.000Z,146.71,147.19,145.7202,147.11,55469606,144.9043538755,145.3784462337,143.9267359254,145.2994308406,55469606,0.0,1.0
2023-02-27T00:00:00.000Z,147.92,149.17,147.45,147.71,44998470,146.099461695,147.3340772109,145.635246261,145.8920462883,44998470,0.0,1.0
2023-02-28T00:00:00.000Z,147.41,149.08,146.83,147.05,50546998,145.5957385645,147.2451848938,145.0228769651,145.2401692959,50546998,0.0,1.0
2023-03-01T00:00:00.000Z,145.31,147.2285,145.01,146.83,55478991,143.5215844977,145.4164723916,143.2252767739,145.0228769651,55478991,0.0,1.0
2023-03-02T00:00:00.000Z,145.91,146.71,143.9,144.38,52279761,144.1141999453,144.9043538755,142.1289381957,142.6030305538,52279761,0.0,1.0
2023-03-03T00:00:00.000Z,151.03,151.11,147.33,148.045,70732297,149.1711850986,149.2502004917,145.5167231714,146.2229232466,70732297,0.0,1.0
2023-03-06T00:00:00.000Z,153.83,156.3,153.46,153.785,87558028,151.9367238544,154.3763241139,151.5712776616,151.8922776958,87558028,0.0,1.0
